Từ Khóa,Vị Trí Trước Đây,Vị Trí GSC (TB),Thay Đổi Thứ Hạng,URL Đích,Lượt Tìm Kiếm (GSC Impressions),Lượt Click (GSC Clicks),Tỷ Lệ CTR %,Loại Từ Khóa,Search Intent,Độ Ưu Tiên,Cụm Silo,Ngày Cập Nhật
mô hình quy hoạch,Top 12.0 (17/08/2026) (17/08/2026),Top 6.8,Tăng 5.2 Bậc (+5.2),https://mohinhkientruc.org/danh-muc-du-an/mo-hinh-quy-hoach/,46 Imp,3 Clicks,6.52% CTR,Từ Khóa Chính (Core Focus),Transactional B2B,Ưu Tiên 1 (P1 - Top 1-3),Cụm 1: Mô Hình Quy Hoạch,20/08/2026 (Mới Nhất Real-time)
mô hình kiến trúc,Top 8.0 (17/08/2026) (17/08/2026),Top 18.3,Giảm 10.3 Bậc (-10.3),https://mohinhkientruc.org/mo-hinh-kien-truc/,108 Imp,4 Clicks,3.70% CTR,Từ Khóa Chính (Core Focus),Transactional B2B,Ưu Tiên 1 (P1 - Top 1-3),Cụm 2: Mô Hình Kiến Trúc,20/08/2026 (Mới Nhất Real-time)
mô hình cao tầng,Top 14.0 (17/08/2026) (17/08/2026),Top 5.0,Tăng 9.0 Bậc (+9.0),https://mohinhkientruc.org/sa-ban-cao-tang/,980 Imp,54 Clicks,5.51% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 3: Mô Hình Cao Tầng,20/08/2026 (Mới Nhất Real-time)
mô hình nhà máy,Top 16.0 (17/08/2026) (17/08/2026),Top 6.0,Tăng 10.0 Bậc (+10.0),https://mohinhkientruc.org/mo-hinh-nha-may/,"1,120 Imp",68 Clicks,6.07% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 4: Mô Hình KCN & Nhà Máy,20/08/2026 (Mới Nhất Real-time)
mô hình thiết bị,Top 22.0 (17/08/2026) (17/08/2026),Top 9.0,Tăng 13.0 Bậc (+13.0),https://mohinhkientruc.org/mo-hinh-3d/,640 Imp,25 Clicks,3.91% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 3 (P3),Cụm 5: Mô Hình Thiết Bị,20/08/2026 (Mới Nhất Real-time)
mô hình trường học,Top 18.0 (17/08/2026) (17/08/2026),Top 7.0,Tăng 11.0 Bậc (+11.0),https://mohinhkientruc.org/lam-sa-ban-truong-hoc/,720 Imp,38 Clicks,5.28% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 6: Mô Hình Công Cộng,20/08/2026 (Mới Nhất Real-time)
mô hình bệnh viện,Top 19.0 (17/08/2026) (17/08/2026),Top 8.0,Tăng 11.0 Bậc (+11.0),https://mohinhkientruc.org/mo-hinh-tod-sa-ban/,530 Imp,22 Clicks,4.15% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 6: Mô Hình Công Cộng,20/08/2026 (Mới Nhất Real-time)
sa bàn quy hoạch,Top 15.0 (17/08/2026) (17/08/2026),Top 4.0,Tăng 11.0 Bậc (+11.0),https://mohinhkientruc.org/dich-vu-lam-sa-ban-quy-hoach/,"1,650 Imp",118 Clicks,7.15% CTR,Từ Khóa Chính (Core Focus),Transactional B2B,Ưu Tiên 1 (P1 - Top 1-3),Cụm 1: Mô Hình Quy Hoạch,20/08/2026 (Mới Nhất Real-time)
sa bàn kiến trúc,Top 10.0 (17/08/2026) (17/08/2026),Top 4.5,Tăng 5.5 Bậc (+5.5),https://mohinhkientruc.org/sa-ban-kien-truc/,"2,100 Imp",135 Clicks,6.43% CTR,Từ Khóa Chính (Core Focus),Transactional B2B,Ưu Tiên 1 (P1 - Top 1-3),Cụm 2: Mô Hình Kiến Trúc,20/08/2026 (Mới Nhất Real-time)
sa bàn cao tầng,Top 13.0 (17/08/2026) (17/08/2026),Top 5.5,Tăng 7.5 Bậc (+7.5),https://mohinhkientruc.org/sa-ban-cao-tang/,870 Imp,46 Clicks,5.29% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 3: Mô Hình Cao Tầng,20/08/2026 (Mới Nhất Real-time)
sa bàn nhà máy,Top 17.0 (17/08/2026) (17/08/2026),Top 3.2,Tăng 13.8 Bậc (+13.8),https://mohinhkientruc.org/thi-cong-sa-ban-nha-may-khu-cong-nghiep/,6 Imp,1 Clicks,16.67% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 4: Mô Hình KCN & Nhà Máy,20/08/2026 (Mới Nhất Real-time)
sa bàn thiết bị,Top 21.0 (17/08/2026) (17/08/2026),Top 9.5,Tăng 11.5 Bậc (+11.5),https://mohinhkientruc.org/sa-ban-noi-that/,480 Imp,18 Clicks,3.75% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 3 (P3),Cụm 5: Mô Hình Thiết Bị,20/08/2026 (Mới Nhất Real-time)
sa bàn trường học,Top 19.0 (17/08/2026) (17/08/2026),Top 8.5,Tăng 10.5 Bậc (+10.5),https://mohinhkientruc.org/lam-sa-ban-truong-hoc/,2 Imp,1 Clicks,50.00% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 6: Mô Hình Công Cộng,20/08/2026 (Mới Nhất Real-time)
sa bàn bệnh viện,Top 20.0 (17/08/2026) (17/08/2026),Top 8.5,Tăng 11.5 Bậc (+11.5),https://mohinhkientruc.org/du-an-noi-bat/,590 Imp,26 Clicks,4.41% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 6: Mô Hình Công Cộng,20/08/2026 (Mới Nhất Real-time)
vận chuyển mô hình,Top 18.5 (17/08/2026) (17/08/2026),Top 6.8,Tăng 11.7 Bậc (+11.7),https://mohinhkientruc.org/van-chuyen-sa-ban-kien-truc/,820 Imp,45 Clicks,5.49% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 7: Dịch Vụ Vận Chuyển,20/08/2026 (Mới Nhất Real-time)
vận chuyển sa bàn,Top 19.2 (17/08/2026) (17/08/2026),Top 7.2,Tăng 12.0 Bậc (+12.0),https://mohinhkientruc.org/van-chuyen-sa-ban-kien-truc/,760 Imp,38 Clicks,5.00% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 7: Dịch Vụ Vận Chuyển,20/08/2026 (Mới Nhất Real-time)
sửa chữa mô hình,Top 16.4 (17/08/2026) (17/08/2026),Top 5.4,Tăng 11.0 Bậc (+11.0),https://mohinhkientruc.org/sua-chua-mo-hinh-kien-truc/,930 Imp,58 Clicks,6.24% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 8: Dịch Vụ Sửa Chữa,20/08/2026 (Mới Nhất Real-time)
sửa chữa sa bàn,Top 17.1 (17/08/2026) (17/08/2026),Top 5.8,Tăng 11.3 Bậc (+11.3),https://mohinhkientruc.org/sua-chua-mo-hinh-kien-truc/,880 Imp,52 Clicks,5.91% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 8: Dịch Vụ Sửa Chữa,20/08/2026 (Mới Nhất Real-time)
công ty mô hình kiến trúc,Top 6.5 (17/08/2026) (17/08/2026),Top 43.6,Giảm 37.1 Bậc (-37.1),https://mohinhkientruc.org/cong-ty-lam-mo-hinh/,25 Imp,0 Clicks,0.00% CTR,Từ Khóa Chính (Core Focus),Transactional B2B,Ưu Tiên 1 (P1 - Top 1-3),Cụm 9: Định Vị Doanh Nghiệp,20/08/2026 (Mới Nhất Real-time)
công ty sa bàn kiến trúc,Top 8.2 (17/08/2026) (17/08/2026),Top 3.2,Tăng 5.0 Bậc (+5.0),https://mohinhkientruc.org/,"2,410 Imp",168 Clicks,6.97% CTR,Từ Khóa Chính (Core Focus),Transactional B2B,Ưu Tiên 1 (P1 - Top 1-3),Cụm 9: Định Vị Doanh Nghiệp,20/08/2026 (Mới Nhất Real-time)
làm mô hình,Top 12.5 (17/08/2026) (17/08/2026),Top 4.2,Tăng 8.3 Bậc (+8.3),https://mohinhkientruc.org/lam-mo-hinh-kien-truc/,"1,780 Imp",121 Clicks,6.80% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 10: Dịch Vụ Sản Xuất,20/08/2026 (Mới Nhất Real-time)
làm sa bàn,Top 13.8 (17/08/2026) (17/08/2026),Top 4.6,Tăng 9.2 Bậc (+9.2),https://mohinhkientruc.org/lam-sa-ban/,"1,620 Imp",104 Clicks,6.42% CTR,Từ Khóa Phụ (Long-tail),Transactional B2B,Ưu Tiên 2 (P2),Cụm 10: Dịch Vụ Sản Xuất,20/08/2026 (Mới Nhất Real-time)
